Electronegativity, Calculated Radius, First Ionization, Core Configuration, Heat of Vapor, Covalent Radius, Heat of Fusion, Bulk Modulus, Boiling Point, Brinell Hardness, Melting Point, Symbol, STP Density, Young Modulus, Shear Modulus, Vickers Hardness, Name, Common Ions, Second Ionization, Mass, Van der Waals Radius, Specific Heat, Thermal Cond., Third Ionization, Series, Electron Affinity, Atomic Number, Mohs Hardness, Empirical Radius,
Unknown,225,565.8,[Xe] 6s2 4f9,295,Unknown,10.8,38.7,3503,677,1629,Tb,8219,56,22,863,Terbium,NA,1110,158.9254,Unknown,182,11,2114,Lanthanoid,50,65,Unknown,175,
1.22,228,573,[Xe] 6s2 4f10,280,Unknown,11.1,41,2840,500,1685,Dy,8551,61,25,540,Dysprosium,NA,1130,162.5,Unknown,167,11,2200,Lanthanoid,50,66,Unknown,175,
1.23,226,581,[Xe] 6s2 4f11,265,Unknown,17,40,2973,746,1747,Ho,8795,65,26,481,Holmium,NA,1140,164.9303,Unknown,165,16,2204,Lanthanoid,50,67,Unknown,175,
1.24,226,589.3,[Xe] 6s2 4f12,285,Unknown,19.9,44,3141,814,1770,Er,9066,70,28,589,Erbium,NA,1150,167.259,Unknown,168,15,2194,Lanthanoid,50,68,Unknown,175,
1.25,222,596.7,[Xe] 6s2 4f13,250,Unknown,16.8,45,2223,471,1818,Tm,9321,74,31,520,Thulium,NA,1160,168.9342,Unknown,160,17,2285,Lanthanoid,50,69,Unknown,175,
Unknown,222,603.4,[Xe] 6s2 4f14,160,Unknown,7.7,31,1469,343,1092,Yb,6570,24,9.9,206,Ytterbium,NA,1174.8,173.054,Unknown,154,39,2417,Lanthanoid,50,70,Unknown,175,
1.27,217,523.5,[Xe] 6s2 4f14 5d1,415,160,22,48,3675,893,1936,Lu,9841,69,27,1160,Lutetium,NA,1340,174.9668,Unknown,154,16,2022.3,Lanthanoid,50,71,Unknown,175,
1.1,Unknown,499,[Rn] 7s2 6d1,400,Unknown,14,Unknown,3473,Unknown,1323,Ac,10070,Unknown,Unknown,Unknown,Actinium,NA,1170,-227,Unknown,120,12,Unknown,Actinoid,Unknown,89,Unknown,195,
1.3,Unknown,587,[Rn] 7s2 6d2,530,Unknown,16,54,5093,400,2023,Th,11724,79,31,350,Thorium,NA,1110,232.0381,Unknown,118,54,1930,Actinoid,Unknown,90,3,180,
1.5,Unknown,568,[Rn] 7s2 5f2 6d1,470,Unknown,15,Unknown,4273,Unknown,1845,Pa,15370,Unknown,Unknown,Unknown,Protactinium,NA,Unknown,231.0359,Unknown,99.1,47,Unknown,Actinoid,Unknown,91,Unknown,180,
